,EXP 378 Samples Processing Log,,,,,,,,,,Age model based on CCSF-ABCDE-20200924,,,Shipboard Age,,,,Ich Accum (prelim),Bryan Age Model updates,,,,,,,Dry log,,Initial wash (DI water whole sample),,,,Acid Wash,,,Heavy Liquid Step,,,Alizarin Dye Step,,,Picking Log,,,>150 um,,,106-150 um,,,63-106 um,,,38-63 um,,,,,Don't edit this one,Edit this one!,,Imaging Log,Yale keyence only,,,Segmenting,"Green = complete ""final"" segment",
IODP Sample Request,Serial #,Exp,Site,Hole,Core,Core Type,Sect,Half,Top (cm),Bottom (cm),Top depth CCSF-378-U1553-ABCDE-20200924 (m),Bottom depth CCSF-378-U1553-ABCDE-20200924 (m),Mid-depth CCSF (calc),Age (Linear Interpolation),Sedimentation Rate (cm/Kyr),Sedimentation Rate (cm/Myr),"DBD (variable, g/cm^3)",ich/cm2/myr,Age (Ma) New,Age Difference,Sed rate (cm/kyr),Sed rate (cm/myr),IAR,Point Person,Time Period,Into Oven,Out of oven,Date washed,Washed by,Dry Weight,Notes,Date acidified,Acidified by,Notes,Date Separated,Separated by,Notes,Date in Alizarin,Dyed by,Dye notes,Picked By,Date started,Date Ended,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Total Teeth,Total Denticles,Total Ichthyoliths,Total Ichthyoliths (manual),Notes on Picking,Date photographed,Photographed by,Hole 1 zoom level,Hole 2 zoom level (if relevant),Threshold Hole 1,Threshold Hole 2,
91039IODP,1,378,U1553,E,1,H,1,W,45,49,1.29,1.33,1.31,6.7334,0.01945525292,19.45525292,0.94253333,0,6.812,0.0786,0.01923076923,19.23076923,0,Elizabeth,Mio-Mod,19-Dec,24-Jan,5/26/2022,ECS,45.582,,5/30/2022,ECS,had to do twice,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,2,378,U1553,E,1,H,1,W,95,99,1.79,1.83,1.81,9.3034,0.01945525292,19.45525292,0.9412,#DIV/0!,9.412,0.1086,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,3,378,U1553,E,1,H,1,W,145,149,2.29,2.33,2.31,11.8734,0.01945525292,19.45525292,0.94081181,#DIV/0!,12.012,0.1386,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,1-Feb,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,4,378,U1553,E,1,H,2,W,45,49,2.79,2.83,2.81,14.4434,0.01945525292,19.45525292,0.94892989,#DIV/0!,14.612,0.1686,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,5,378,U1553,E,1,H,2,W,95,99,3.29,3.33,3.31,17.0134,0.01945525292,19.45525292,0.95704797,0,17.212,0.1986,0.01923076923,19.23076923,0,Elizabeth,Mio-Mod,24-Jan,8-Feb,5/27/2022,ECS,38.592,,5/30/2022,ECS,Had to do twice,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,6,378,U1553,E,1,H,2,W,145,149,3.79,3.83,3.81,19.5834,0.01945525292,19.45525292,0.96516605,#DIV/0!,19.812,0.2286,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,7,378,U1553,E,1,H,3,W,45,49,4.3,4.34,4.32,22.2048,0.01945525292,19.45525292,0.97344649,#DIV/0!,22.464,0.2592,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,8,378,U1553,E,1,H,3,W,95,99,4.8,4.84,4.82,24.7748,0.01945525292,19.45525292,0.98156458,#DIV/0!,25.064,0.2892,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,9,378,U1553,E,1,H,3,W,145,149,5.3,5.34,5.32,25.72022117,0.05288648238,52.88648238,0.98431722,0,26.01282051,0.2925993438,0.05269700573,52.69700573,0,Elizabeth,Mio-Mod,21-Nov,21-Dec,5/17/2022,ECS,39.558,,5/26/2022,ECS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,10,378,U1553,E,1,H,4,W,43,46,5.78,5.81,5.795,25.75023697,1.5825,1582.5,0.98474773,#DIV/0!,26.03185096,0.2816139947,2.496,2496,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,11,378,U1553,E,1,H,4,W,93,96,6.28,6.31,6.295,25.78183254,1.5825,1582.5,0.98520091,#DIV/0!,26.05188301,0.2700504694,2.496,2496,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,12,378,U1553,E,1,H,4,W,143,146,6.78,6.81,6.795,25.81342812,1.5825,1582.5,0.98565408,#DIV/0!,26.07191506,0.258486944,2.496,2496,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,13,378,U1553,E,1,H,5,W,47,50,7.33,7.36,7.345,25.84818325,1.5825,1582.5,0.98615257,0,26.09395032,0.2457670662,2.496,2496,0,Elizabeth,Mio-Mod,24-Jan,8-Feb,4/15/2022,ECS,42.771,,5/17/2022,ECS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,14,378,U1553,E,1,H,5,W,97,100,7.83,7.86,7.845,25.87977883,1.5825,1582.5,0.98660574,#DIV/0!,26.11398237,0.2342035408,2.496,2496,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,15,378,U1553,E,1,H,5,W,145,149,8.31,8.35,8.33,25.91042654,1.5825,1582.5,0.98704532,#DIV/0!,26.13341346,0.2229869213,2.496,2496,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,16,378,U1553,E,2,H,4,W,96,99,14.73,14.76,14.745,26.31579779,1.5825,1582.5,0.99285952,#DIV/0!,26.39042468,0.07462689118,2.496,2496,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,17,378,U1553,E,2,H,5,W,70,76,15.98,16.04,16.01,26.3957346,1.5825,1582.5,1.00184071,0,26.44110577,0.04537117207,2.496,2496,0,Elizabeth,Mio-Mod,24-Jan,8-Feb,5/17/2022,ECS,32.812,,5/30/2022,ECS,Had to do twice,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,18,378,U1553,A,3,H,4,W,58,63,17.73,17.78,17.755,26.50544218,1.590592012,1590.592012,1.01573894,#DIV/0!,26.5145937,0.009151521305,2.374539635,2374.539635,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,19,378,U1553,E,3,H,3,W,122,126,23.69,23.73,23.71,26.84658074,1.745625,1745.625,0.99319943,#DIV/0!,26.8306136,-0.01596713888,1.884375,1884.375,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,20,378,U1553,E,3,H,6,W,108,112,28.06,28.1,28.08,27.09692087,1.745625,1745.625,0.99281457,#DIV/0!,27.06252073,-0.03440014393,1.884375,1884.375,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,21,378,U1553,E,4,H,3,W,40,43,32.85,32.88,32.865,27.37103473,1.745625,1745.625,0.97960533,0,27.31645108,-0.05458365174,1.884375,1884.375,0,Elizabeth,Mio-Mod,19-Dec,24-Jan,5/27/2022,ECS,37.206,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,22,378,U1553,A,5,H,3,W,60,64,36.49,36.53,36.51,27.57984246,1.745625,1745.625,0.91795111,#DIV/0!,27.50988391,-0.06995854954,1.884375,1884.375,#DIV/0!,Elizabeth,Mio-Mod,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,23,378,U1553,B,5,H,4,W,43,49,41.32,41.38,41.35,27.85710705,1.745625,1745.625,0.93663158,#DIV/0!,27.766733,-0.09037405169,1.884375,1884.375,#DIV/0!,Elizabeth,Oligocene,24-Jan,8-Feb,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,24,378,U1553,E,6,H,2,W,72,76,47.18,47.22,47.2,28.17116485,1.862714483,1862.714483,0.96342094,#DIV/0!,28.07718076,-0.09398408374,1.884375,1884.375,#DIV/0!,Elizabeth,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,25,378,U1553,B,6,H,4,W,46,50,51.3,51.34,51.32,28.35327613,2.262352941,2262.352941,1.02627621,0,28.2560836,-0.09719252816,2.30292599,2302.92599,0,Elizabeth,,24-Jan,8-Feb,5/25/2022,ECS,39.799,,5/26/2022,ECS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,26,378,U1553,E,7,H,3,W,51,55,58.55,58.59,58.57,28.67373895,2.262352941,2262.352941,1.06347111,#DIV/0!,28.56275193,-0.1109870212,2.364117647,2364.117647,#DIV/0!,Iszac/Elizabeth,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,27,378,U1553,B,8,H,2,W,52,56,62.34,62.38,62.36,28.84126365,2.262352941,2262.352941,1.06571244,#DIV/0!,28.72306544,-0.1181982114,2.364117647,2364.117647,#DIV/0!,Iszac/Elizabeth,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,28,378,U1553,B,8,H,6,W,7,12,67.92,67.97,67.945,29.08813053,2.262352941,2262.352941,1.01962778,#DIV/0!,28.9593058,-0.1288247278,2.364117647,2364.117647,#DIV/0!,Iszac/Elizabeth,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,29,378,U1553,A,9,H,2,W,58,62,75.44,75.48,75.46,29.42030681,2.262352941,2262.352941,1.04634959,#DIV/0!,29.27718338,-0.1431234333,2.364117647,2364.117647,#DIV/0!,Iszac/Elizabeth,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,30,378,U1553,A,9,H,6,W,26,30,81.11,81.15,81.13,29.67093084,2.262352941,2262.352941,1.12957143,#DIV/0!,29.51701916,-0.1539116782,2.364117647,2364.117647,#DIV/0!,Iszac/Elizabeth,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,31,378,U1553,A,10,H,3,W,89,93,86.78,86.82,86.8,29.88395822,2.661629636,2661.629636,1.30028953,#DIV/0!,29.75685494,-0.1271032827,2.364117647,2364.117647,#DIV/0!,Iszac/Elizabeth,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,32,378,U1553,A,11,H,2,W,58,62,95.57,95.61,95.59,30.15231923,3.275438596,3275.438596,1.03789525,#DIV/0!,30.01433618,-0.1379830455,3.41384089,3413.84089,#DIV/0!,Iszac/Elizabeth,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,33,378,U1553,B,12,H,2,W,97,101,104.24,104.28,104.26,30.4170166,3.275438596,3275.438596,1.08755233,12974.24301,30.25349895,-0.1635176527,3.625146199,3625.146199,14359.45945,Iszac,,24-Jan,8-Feb,5/25/2022,IMH,52.441,,5/26/2022,IMH,,5/31/2022,IMH/ECS,,7/8/2022,IMH,Post picking,IMH,6/28/22,7/11/22,,,,0,8,10,0,36,18,0,147,61,191,0,191,191,Ended up with 4 images due to an extra post-LST dye step,7/8/2022,IMH/ECS,200X,200X,0.16,0.25,3 of 2: 0.29; 4 of 2: 0.24
91039IODP,34,378,U1553,E,13,H,5,W,56,60,116.12,116.16,116.14,30.77971612,3.275438596,3275.438596,1.13604501,#DIV/0!,30.58120987,-0.1985062496,3.625146199,3625.146199,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,35,378,U1553,A,13,H,6,W,13,17,122.14,122.18,122.16,30.9635083,3.275438596,3275.438596,1.14111765,0,30.74727214,-0.2162361614,3.625146199,3625.146199,0,Iszac,,19-Dec,24-Jan,5/31/2022,IMH,53.303,Big,6/2/2022,IMH,,8/4/2022,IMH,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,36,378,U1553,A,14,H,5,W,33,37,131.46,131.5,131.48,31.24805035,3.275438596,3275.438596,1.18609091,#DIV/0!,31.00436522,-0.243685128,3.625146199,3625.146199,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,37,378,U1553,E,16,H,2,W,94,98,142.81,142.85,142.83,31.65447046,2.792676736,2792.676736,1.13597065,6460.735212,31.31745604,-0.3370144217,3.625146199,3625.146199,8386.616822,Iszac,,19-Dec,24-Jan,6/14/2022,IMH,53.522,,6/17/2022,IMH,,6/28/2022,IMH,stuck to bottom,,,,IMH,7/25/22,8/1/22,,,,0,10,3,0,55,22,0,44,13,109,0,109,109,,,IMH,200x,,0.27,,
91039IODP,38,378,U1553,A,18,H,1,W,140,144,149.46,149.5,149.48,32.00130389,1.917346939,1917.346939,1.09195062,#DIV/0!,31.50089692,-0.5004069662,3.625146199,3625.146199,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,39,378,U1553,A,18,H,5,W,32,36,154.41,154.45,154.43,32.25947312,1.917346939,1917.346939,1.10819912,13539.74897,31.77727273,-0.4822003967,1.791039537,1791.039537,12647.80267,Iszac,,21-Nov,21-Dec,2/8/2022,IMH,47.55,,3/4/2022,IMH,,5/26/2022,IMH/ECS,2.8 g/cm3,6/27/2022,IMH,Only a small portion of <150 fraction got dyed,IMH,3/1/2022,7/18/22,,,,2,21,15,0,73,52,0,207,78,301,2,303,303,,,IMH,200x,200x,0.33,0.32,
91039IODP,40,378,U1553,E,18,X,1,W,105,109,163.69,163.73,163.71,32.76655795,1.83006858,1830.06858,1.1475412,#DIV/0!,32.31413223,-0.4524257145,1.728571429,1728.571429,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,41,378,U1553,B,18,X,3,W,124,128,163.76,163.8,163.78,32.77054129,1.757317073,1757.317073,1.14696437,#DIV/0!,32.31818182,-0.4523594726,1.728571429,1728.571429,#DIV/0!,Iszac,,24-Jan,8-Feb,,IMH,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,42,378,U1553,A,20,H,2,W,22,26,171.12,171.16,171.14,33.18936155,1.757317073,1757.317073,1.21442456,#DIV/0!,32.66133746,-0.5280240961,2.144799368,2144.799368,#DIV/0!,Iszac,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,43,378,U1553,A,20,H,5,W,10,14,175.51,175.55,175.53,33.50109475,1.408255529,1408.255529,1.16503524,2194.301871,32.83267492,-0.668419836,2.562195122,2562.195122,3992.336216,Iszac,,24-Jan,8-Feb,5/26/2022,IMH,53.834,,5/27/2022,IMH,,6/1/2022,ECS/IMH,crystallized,,,,IMH,7/18/22,7/21/22,,,,1,7,4,0,10,6,0,54,17,71,1,72,72,,,IMH,200x,200x,0.3,0.3,
91039IODP,44,378,U1553,A,21,F,1,W,98,102,180.48,180.52,180.5,33.91948282,1.187892377,1187.892377,1.13479323,#DIV/0!,33.02664921,-0.892833609,2.562195122,2562.195122,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,45,378,U1553,B,20,X,3,W,3,7,184.55,184.59,184.57,34.26210646,1.187892377,1187.892377,1.1441514,3660.864753,33.18549738,-1.076609073,2.562195122,2562.195122,7896.211809,Iszac,EOT-ish is actually here,19-Dec,24-Jan,6/14/2022,IMH,41.581,,6/17/2022,IMH,,8/4/2022,IMH,,,,,,,,,,,0,24,3,0,15,,0,73,,112,0,112,112,,,,,,,,
91039IODP,46,378,U1553,A,22,F,3,W,98,102,188.49,188.53,188.51,34.59378633,1.187892377,1187.892377,1.16243223,#DIV/0!,33.3619958,-1.231790536,2.23231465,2232.31465,#DIV/0!,Iszac,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,47,378,U1553,E,21,X,1,W,67,71,193.47,193.51,193.49,35.01301623,1.187892377,1187.892377,1.18553846,#DIV/0!,33.7072479,-1.305768333,1.442424242,1442.424242,#DIV/0!,Iszac,,24-Jan,8-Feb,,IMH,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
